Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Tptal write LLC;
.perlbench-41B.champsimtrace.xz;0.802796;280420;189230;144876;101453;0.408223;128135;
.perlbench-50B.champsimtrace.xz;0.879412;27304;14416;17334;16847;0.11745;18620;
.bzip2-7B.champsimtrace.xz;1.11025;2389191;263;1203769;482632;0.696721;870655;
.bzip2-38B.champsimtrace.xz;0.954885;2384458;94;1239769;494135;0.710861;963290;
.bzip2-226B.champsimtrace.xz;0.8626;3386499;137;1854523;722101;0.693465;1223578;
.bzip2-277B.champsimtrace.xz;0.995457;1466742;9;930874;576608;0.527973;866416;
.gcc-16B.champsimtrace.xz;1.16984;9905815;11104;9905999;33719;0.998289;9833302;
.gcc-17B.champsimtrace.xz;0.382902;3240485;1492;2656687;1375781;0.572353;1936501;
.gcc-48B.champsimtrace.xz;1.32103;1754281;2;49630;48854;0.248169;64204;
.bwaves-1963B.champsimtrace.xz;0.706519;4034329;0;3672806;3671231;0.025404;3766294;
